model,cost,dispersion,recall,missed_failures,false_alarms,auc_pr,measurements
gradient boosting,6674.666666666667,1203.018426015717,0.9497916666666666,8.033333333333333,265.8,0.8776578244626163,30
V0,7036.333333333333,1204.3956370623036,0.9522916666666668,7.633333333333334,321.96666666666664,0.8296917466403593,30
V1,7071.0,1307.2169700920163,0.9539583333333332,7.366666666666666,338.76666666666665,0.8235356266884679,30
random forest,7071.0,1307.2169700920163,0.9539583333333332,7.366666666666666,338.76666666666665,0.8235356266884679,30
