,cost,dispersion,recall,missed_failures,false_alarms,auc_pr,threshold
"B, weighted cross-entropy",8454.0,1492.2064200371208,0.9462499999999998,8.6,415.4,0.7554669178355329,0.23037416040897368
"A, reference",8494.0,1780.2471738497438,0.9399999999999998,9.6,369.4,0.7598965163488792,0.2723731368780136
"D, weighted focal loss",8622.0,1069.5653322728817,0.9475,8.4,442.2,0.7531936636199991,0.3047999382019043
"C, focal loss",9124.0,1450.2689405761953,0.9487500000000001,8.2,502.4,0.7936047465978523,0.14293200224637986
