,cost,recall,precision,auc,auc_pr,TP,FP,FN,TN,threshold,ratio_to_reference,saving_pct
gradient boosting,6410.0,0.97,0.36261682242990656,0.9939169491525424,0.9077585068142409,194.0,341.0,6.0,11459.0,0.0023719617165625095,0.0641,93.6
random forest,7310.0,0.97,0.3104,0.9930523305084746,0.8575763676963876,194.0,431.0,6.0,11369.0,0.03666666666666667,0.0731,92.7
perceptron,8110.0,0.965,0.29510703363914376,0.9899177966101694,0.7602817055616407,193.0,461.0,7.0,11339.0,0.2737516164779663,0.0811,91.9
linear svm,8520.0,0.955,0.3220910623946037,0.982629661016949,0.7586702422168273,191.0,402.0,9.0,11398.0,0.017589312910874167,0.0852,91.5
logistic regression,10760.0,0.94,0.28313253012048195,0.9820588983050846,0.7407944666075407,188.0,476.0,12.0,11324.0,0.42730437247261915,0.1076,89.2
