model,fold,cost,recall,precision,auc,auc_pr,TP,FP,FN,TN,threshold,unweighted_threshold,repeat
V1,2,8620,0.93125,0.3232104121475054,0.9871123543432204,0.8316213066057165,149,312,11,9128,0.04,0.0008326394671107411,3
V1,3,7360,0.9625,0.26101694915254237,0.9865029131355932,0.8192166684564132,154,436,6,9004,0.02666666666666667,0.000547645125958379,3
V1,4,7600,0.94375,0.3275488069414317,0.9840989141949152,0.7940608851349559,151,310,9,9130,0.04666666666666667,0.0009780634343998884,3
V1,5,6390,0.95625,0.34615384615384615,0.985259533898305,0.8319597359185531,153,289,7,9151,0.05,0.0010515247108307047,3
V1,1,6280,0.96875,0.29080675422138835,0.9909514036016949,0.8270857107706401,155,378,5,9062,0.03,0.000618174325159695,4
V1,2,9320,0.91875,0.34265734265734266,0.9769362420550848,0.8090663669765392,147,282,13,9158,0.056666666666666664,0.0011999717653702264,4
V1,3,7350,0.95,0.31211498973305957,0.9841138109110169,0.8237941375611599,152,335,8,9105,0.03666666666666667,0.0007606666205656594,4
V1,4,6050,0.9625,0.3355119825708061,0.9900132415254237,0.829985543239881,154,305,6,9135,0.043333333333333335,0.0009051033906565481,4
V1,5,6380,0.975,0.26262626262626265,0.9825340969279661,0.8355632715148973,156,438,4,9002,0.02666666666666667,0.000547645125958379,4
V1,1,5880,0.96875,0.3144016227180527,0.9843289856991524,0.8289111498293316,155,338,5,9102,0.03333333333333333,0.0006891798759476223,5
V1,2,7520,0.94375,0.3333333333333333,0.9838738082627119,0.8148604697253186,151,302,9,9138,0.043333333333333335,0.0009051033906565481,5
V1,3,6130,0.975,0.2741652021089631,0.9882991260593222,0.833624197123166,156,413,4,9027,0.03333333333333333,0.0006891798759476223,5
V1,4,8160,0.9375,0.3218884120171674,0.9798778469279661,0.8080437822305845,150,316,10,9124,0.04,0.0008326394671107411,5
V1,5,6240,0.95625,0.3583138173302108,0.9848765227754237,0.8323576421112949,153,274,7,9166,0.04666666666666667,0.0009780634343998884,5
